level,disk,time
0, 10, 137.89999999999998
0, 20, 77.1
0, 30, 46.400000000000006
0, 40, 43.8
0, 50, 47.2
0, 60, 32.9
0, 70, 30.299999999999997
0, 80, 22.5
0, 90, 24.8
0, 100, 23.9
1, 10, 143.79999999999995
1, 20, 84.59999999999998
1, 30, 50.5
1, 40, 56.7
1, 50, 59.2
1, 60, 40.4
1, 70, 39.0
1, 80, 30.299999999999997
1, 90, 30.299999999999997
1, 100, 30.5
4, 10, 134.09999999999997
4, 20, 93.59999999999998
4, 30, 70.7
4, 40, 48.2
4, 50, 43.2
4, 60, 35.4
4, 70, 29.3
4, 80, 20.9
4, 90, 26.6
4, 100, 19.3
5, 10, 138.59999999999997
5, 20, 77.89999999999999
5, 30, 46.6
5, 40, 44.5
5, 50, 47.6
5, 60, 33.199999999999996
5, 70, 30.299999999999997
5, 80, 22.7
5, 90, 25.0
5, 100, 23.9
